ticker,autocorr,pnl_pct,win
DUK,-0.9104872986069624,2.53,True
EXC,-0.4621094848979197,3.11,True
LIN,-0.25618138656710326,3.56,True
SO,-0.9634776290592655,2.54,True
TGT,-0.558284087776321,4.85,True
CSCO,-0.8443856879785375,4.4,True
FDX,-0.4805668380141134,0.97,True
NEE,-0.8945362214376523,2.23,True
PFE,-0.023259200801922307,3.63,True
ETN,-0.8085277424371422,1.46,True
COST,-0.20068143142844322,2.82,True
GD,-0.26569617790305083,0.82,True
WMT,-0.4638961681893081,0.72,True
BK,-0.3982393360395395,3.56,True
CAT,-0.5023686384611066,5.29,True
CMCSA,-0.2710616535252341,-5.65,False
COP,-0.3084149794743347,3.94,True
CVX,-0.8439183152468679,-4.07,False
JNJ,-0.2745835037028629,3.66,True
BMY,0.421351467799038,3.14,True
CSCO,-0.034174809107160704,0.61,True
LIN,0.21049529681991327,0.42,True
MO,0.8379814419385176,1.72,True
COP,-0.9308572519229898,-4.71,False
NFLX,-0.5578095022331666,5.89,True
TGT,-0.7099274889622921,0.1,True
C,0.16778834873341006,3.93,True
SPG,-0.6819828469189572,1.81,True
MO,0.16896519768940355,-2.07,False
AMGN,-0.02498991752044668,-4.05,False
COP,-0.11432724655859881,2.35,True
XOM,-0.018381448898454163,2.23,True
COP,-0.11432724655859881,1.6,True
C,0.198215806890859,3.33,True
PFE,-0.4637669502257808,-3.41,False
SPG,0.04927116150009494,1.3,True
XOM,-0.018381448898454163,1.64,True
AMGN,-0.02498991752044668,-3.77,False
CMCSA,-0.5423577742749356,-6.71,False
CSCO,0.031057418267418948,0.66,True
ETN,-0.8454040596269796,1.1,True
FDX,0.4542070018420774,0.7,True
GD,0.14584498293346684,0.68,True
LIN,-0.4178892803952667,0.46,True
MO,0.16896519768940355,1.48,True
NEE,0.9694166638980908,1.84,True
NFLX,-0.48176451291531974,5.91,True
TGT,-0.8022989855535,-1.31,False
WMT,-0.5255953554191968,0.33,True
CSCO,0.49378131181947493,4.03,True
LIN,-0.5854339870967787,1.53,True
MO,-0.014992431174137776,0.15,True
MRK,-0.6262497650031298,3.44,True
XOM,-0.0743642966883918,-5.78,False
NEE,0.14430091559919656,0.18,True
NEE,-0.7511162971388005,1.7,True
FDX,-0.34755246885599855,1.24,True
COP,-0.21002648038317612,-2.69,False
CSCO,-0.7359626743491849,-1.51,False
PFE,-0.24214102460039402,-1.71,False
XOM,-0.12154345018988363,-2.24,False
GOOGL,-0.34309784256935794,0.42,True
TGT,-0.8990350346833603,-0.44,False
TXN,-0.6379881830785616,2.42,True
USB,-0.5952289365496108,1.11,True
CVS,-0.5073798700544604,0.04,True
GS,-0.5776406812470778,-0.22,False
AMD,-0.25372179650660087,5.8,True
SBUX,-0.5738656748006693,-1.36,False
COP,-0.11018787639977073,-1.83,False
DE,-0.12558205824888152,-5.34,False
MS,-0.11272339133126234,4.36,True
BK,-0.015938537365113265,2.7,True
TGT,-0.5544008047983118,-0.86,False
NEE,-0.3635397631498948,-0.36,False
NEE,-0.3635397631498948,0.37,True
