ticker,pnl_pct,spy,excess
DUK,2.53,0.4057112042281874,2.1242887957718124
EXC,3.11,0.4057112042281874,2.7042887957718125
LIN,3.56,-1.2385507687049047,4.798550768704905
SO,2.54,0.4057112042281874,2.1342887957718126
TGT,4.85,-2.922619497592016,7.772619497592016
CSCO,4.4,-1.2385507687049047,5.638550768704905
FDX,0.97,0.9247034653649955,0.04529653463500449
NEE,2.23,0.9247034653649955,1.3052965346350045
PFE,3.63,0.4057112042281874,3.2242887957718125
ETN,1.46,0.9247034653649955,0.5352965346350045
COST,2.82,0.4057112042281874,2.4142887957718124
GD,0.82,0.9247034653649955,-0.10470346536499553
WMT,0.72,0.9247034653649955,-0.2047034653649955
BK,3.56,0.4057112042281874,3.1542887957718126
BRK.B,-0.55,0.9247034653649955,-1.4747034653649955
CAT,5.29,0.4057112042281874,4.884288795771813
CMCSA,-5.65,0.9247034653649955,-6.574703465364996
COP,3.94,-2.922619497592016,6.862619497592016
CVX,-4.07,0.4057112042281874,-4.475711204228188
JNJ,3.66,-2.922619497592016,6.582619497592017
BMY,3.14,3.4285336961040525,-0.28853369610405233
CSCO,0.61,3.963150780383473,-3.3531507803834733
LIN,0.42,3.963150780383473,-3.543150780383473
MO,1.72,3.963150780383473,-2.2431507803834734
COP,-4.71,3.4285336961040525,-8.138533696104052
NFLX,5.89,3.963150780383473,1.9268492196165266
TGT,0.1,3.963150780383473,-3.863150780383473
C,3.93,1.365430925510247,2.564569074489753
SPG,1.81,1.365430925510247,0.444569074489753
MO,-2.07,0.09004744280911581,-2.1600474428091156
AMGN,-4.05,0.607408053242664,-4.657408053242664
COP,2.35,0.09004744280911581,2.2599525571908843
XOM,2.23,0.607408053242664,1.622591946757336
COP,1.6,0.09004744280911581,1.5099525571908843
C,3.33,0.607408053242664,2.722591946757336
PFE,-3.41,0.607408053242664,-4.017408053242664
SPG,1.3,0.607408053242664,0.692591946757336
XOM,1.64,0.607408053242664,1.032591946757336
AMGN,-3.77,0.607408053242664,-4.3774080532426645
BRK.B,-0.99,0.607408053242664,-1.597408053242664
CMCSA,-6.71,0.607408053242664,-7.317408053242664
CSCO,0.66,0.607408053242664,0.05259194675733603
ETN,1.1,0.607408053242664,0.4925919467573361
FDX,0.7,0.607408053242664,0.09259194675733595
GD,0.68,0.607408053242664,0.07259194675733605
LIN,0.46,0.607408053242664,-0.14740805324266398
MO,1.48,0.607408053242664,0.872591946757336
NEE,1.84,0.607408053242664,1.232591946757336
NFLX,5.91,0.607408053242664,5.302591946757336
TGT,-1.31,0.607408053242664,-1.917408053242664
WMT,0.33,0.607408053242664,-0.277408053242664
CSCO,4.03,2.5469554638327674,1.4830445361672329
LIN,1.53,3.070303111106165,-1.5403031111061651
MO,0.15,3.070303111106165,-2.9203031111061653
MRK,3.44,2.5469554638327674,0.8930445361672326
XOM,-5.78,2.5469554638327674,-8.326955463832768
NEE,0.18,2.5469554638327674,-2.3669554638327672
NEE,1.7,0.5103492784415131,1.1896507215584868
FDX,1.24,-0.06617805145495703,1.306178051454957
COP,-2.69,-0.06617805145495703,-2.623821948545043
CSCO,-1.51,-0.06617805145495703,-1.443821948545043
PFE,-1.71,-0.06617805145495703,-1.643821948545043
XOM,-2.24,-0.06617805145495703,-2.173821948545043
GOOGL,0.42,-0.06617805145495703,0.486178051454957
TGT,-0.44,-0.06617805145495703,-0.37382194854504297
TXN,2.42,-0.06617805145495703,2.486178051454957
USB,1.11,-0.06617805145495703,1.1761780514549571
CVS,0.04,-0.06617805145495703,0.10617805145495704
GS,-0.22,-0.06617805145495703,-0.15382194854504297
AMD,5.8,-0.06617805145495703,5.866178051454957
SBUX,-1.36,-0.06617805145495703,-1.293821948545043
DE,-5.34,2.0172026450881564,-7.357202645088156
MS,4.36,1.218488075237012,3.1415119247629884
BK,2.7,1.218488075237012,1.4815119247629882
NEE,0.37,1.218488075237012,-0.848488075237012
